Venue,Seating Capacity,Classes Scheduled,Average Space Utilization %
Acad Block A-1,55,3,84.85
Acad Block A-10,100,3,25.0
Acad Block A-11,107,3,54.52
Acad Block A-12,86,4,68.31
Acad Block A-14,79,3,44.3
Acad Block A-15,79,3,61.18
Acad Block A-16,79,5,63.29
Acad Block A-2,31,3,77.42
Acad Block A-3,71,6,66.9
Acad Block A-4,83,3,66.27
Acad Block A-5,57,4,70.18
Acad Block A-6,28,3,89.29
Acad Block A-7,71,4,75.7
Acad Block A-8,83,5,61.45
Acad Block A-9,51,2,78.43
Acad Block MCB Acad Block A-13,202,4,23.51
Acad Block SS,195,5,20.0
LAB-1,79,0,0.0
LAW-FACLOU,32,0,0.0
Lib Bldg SOE 01,62,0,0.0
Lib Bldg SOE 02,62,0,0.0
Lib Bldg SOE 03,62,3,34.95
SAHSOL ARDCR 0-07,71,3,53.99
SAHSOL CR 1-01,71,3,84.51
SAHSOL CR 1-06,32,2,78.12
SAHSOL CR 1-07,71,3,56.34
SAHSOL CR 2-01,32,1,78.12
SAHSOL CR 2-02,32,1,78.12
SAHSOL CR 2-06,32,2,84.38
SAHSOL CR 2-07,32,2,84.38
SAHSOL GHKCR 0-02,32,3,87.5
SAHSOL MMACR 1-02,32,3,90.62
SAHSOL SBACR 0-01,71,2,83.1
SAHSOL SIACR 0-06,32,2,81.25
SBASSE 10-201,224,5,34.82
SBASSE 10-202,50,4,57.5
SBASSE 10-204,40,6,70.83
SBASSE 10-301,224,5,49.11
SBASSE 10-302,30,5,100.0
SBASSE 10-304,50,3,53.33
SBASSE 9-B2,264,6,65.34
SBASSE PRGST,102,0,0.0
SDSB 101,60,5,86.67
SDSB 105,56,5,98.21
SDSB 201,60,6,90.28
SDSB 203,86,5,65.12
SDSB 204,86,4,63.95
SDSB 205,40,1,87.5
SDSB 305,42,3,95.24
SDSB B-1,150,3,38.89
SDSB B-2,150,3,43.33
SDSB B-3,286,2,43.36
SDSB TRDLB,82,4,70.12
