Course Code, Section, Duration, Instructors, Class Venues, Days
HIST 2322, LEC 1, 2, Muhammad Ali Raza, SBASSE 10-302, TR
FINN 372, LEC 1, 1.5, Nauman Afzal Cheema, SDSB 204, TR
MATH 521, LEC 1, 1.5, Imran Anwar, SBASSE 10-304, TR
CHEM 521, LEC 1, 1.5, Chotana, SBASSE 10-202, TR
LAW 486, LEC 1, 2, Raza Saeed, SAHSOL CR 1-06, MW
CHEM 531, LEC 1, 1.5, Irshad Hussain, Acad Block SS, MW
PHY 512, LEC 1, 1.5, Muhammad Faryad, Acad Block A-11, MW
LAW 303, LEC 1, 2, Sarah Humayun, SAHSOL CR 2-01, TR
ENGL 3812, LEC 1, 2, Furrukh A. Khan, Acad Block A-5, MW
ECON 343, LEC 1, 2, Abid Aman Burki, Acad Block A-5, TR
CHE 302, LEC 1, 1.5, Shahana Khurshid, SBASSE 10-202, TR
CS 310, LEC 1, 1.5, Imdad ullah khan, SBASSE 9-B2, TR
CHEM 342, LEC 1, 1.5, Muhammad Zaheer, SBASSE 10-204, MW
HIST 2324, LEC 1, 2, Ilyas Ahmad Chattha, Acad Block A-11, MW
CLCA 2133, LEC 1, 2, Fatima Fayyaz, Acad Block MCB Acad Block A-13, TR
EDU 526, LEC 1, 1.5, Mariam Haider, Lib Bldg SOE 03, TR
EE 5203, LEC 1, 1.5, Nauman Zafar Butt, SBASSE 10-302, TR
ECON 3603, LEC 1, 2, Ahmed M. Khalid ., SAHSOL SBACR 0-01, MW
FINN 400, LEC 1, 1.5, Saad Azmat, SDSB 204, TR
ACCT 411, LEC 1, 1.5, Saira Rizwan, SDSB B-1, MW
CS 501, LEC 1, 1.5, Momin Ayub Uppal, SBASSE 10-201, TR
SS 187, LEC 1, 2, Muhammad Saad Imtiaz, Acad Block A-12, MW
SS 187, LEC 2, 2, Khan, SBASSE PRGST, TR
SS 1302, LEC 1, 2, Sadaf Habib, SAHSOL MMACR 1-02, TR
PSY 100, LEC 3, 2, Arman Ashraf, SDSB B-2, MW
PSY 100, LEC 4, 2, Humair Yusuf, Acad Block A-4, TR
EDU 422, LEC 1, 1.5, Aaishay Haque, Lib Bldg SOE 03, MW
BIO 513, LEC 1, 1.5, Faiz Ul Hassan Nasim, SBASSE 10-304, TR
MKTG 392, LEC 1, 1.5, Mariam Qadeer, SDSB 203, MW
DISC 320, LEC 1, 1.5, Raja Rub Nawaz, SDSB 101, MW
DISC 420, LEC 2, 1.5, Maheen Aamir Syed, SDSB TRDLB, TR
DISC 420, LEC 1, 1.5, Maheen Aamir Syed, SDSB TRDLB, TR
MGMT 212, LEC 5, 1.5, Shezeen Salim Hemani, SDSB 101, MW
MGMT 212, LEC 4, 1.5, Shezeen Salim Hemani, SDSB 101, MW
MGMT 212, LEC 2, 1.5, Mehroz Sajjad, SDSB 105, TR
MGMT 212, LEC 1, 1.5, Mehroz Sajjad, SDSB 105, TR
MGMT 212, LEC 3, 1.5, Mehr Farhan Cheema, SDSB 105, TR
MGMT 260, LEC 3, 1.5, Ali Sultan, Acad Block A-16, MW
MGMT 260, LEC 2, 1.5, Ali Sultan, Acad Block A-16, MW
MGMT 260, LEC 1, 1.5, Ali Sultan, Acad Block A-16, MW
MATH 101, LEC 6, 1.5, Shehryar Sikander, SBASSE 10-301, MW
MATH 101, LEC 3, 1.5, Muhammad Saqib, SBASSE 10-301, MW
MATH 101, LEC 1, 1.5, Ali Nosherwan Hamed, SBASSE 10-301, MW
MATH 101, LEC 4, 1.5, Haniya Azam, Acad Block SS, TR
MATH 101, LEC 2, 1.5, Sultan Sial, SBASSE 10-301, TR
MATH 102, LEC 2, 1.5, Masood Hussain Shah, SBASSE 10-301, TR
ANTH 483, LEC 1, 2, Dominic William Esler, Acad Block A-2, MW
BIO 313, LEC 1, 1.5, Faiz Ul Hassan Nasim, SAHSOL CR 2-07, TR
BIO 313, LEC 1, 1.5, Khurram Bashir, SAHSOL CR 2-07, TR
CHE 401, LEC 1, 1.5, Qandeel Almas, SAHSOL MMACR 1-02, MW
CHEM 532, LEC 1, 1.5, Muhammad Saeed, SBASSE 10-202, MW
ANTH 464, LEC 1, 2, Lukas Albert Paul Werth, Acad Block A-2, TR
EE 240, LEC 1, 1.5, Zubair Khalid, Acad Block A-8, TR
