Course Code,Section,Duration,Instructors,Class Venues,Days
LAW 486, LEC 1, 2, Raza Saeed, SAHSOL CR 1-06, MW
CHEM 531, LEC 1, 1.5, Irshad Hussain, Acad Block SS, MW
PHY 512, LEC 1, 1.5, Muhammad Faryad, Acad Block A-11, MW
ENGL 3812, LEC 1, 2, Furrukh A. Khan, Acad Block A-5, MW
CHEM 342, LEC 1, 1.5, Muhammad Zaheer, SBASSE 10-204, MW
HIST 2324, LEC 1, 2, Ilyas Ahmad Chattha, Acad Block A-11, MW
ECON 3603, LEC 1, 2, Ahmed M. Khalid ., SAHSOL SBACR 0-01, MW
ACCT 411, LEC 1, 1.5, Saira Rizwan, SDSB B-1, MW
SS 187, LEC 1, 2, Muhammad Saad Imtiaz, Acad Block A-12, MW
PSY 100, LEC 3, 2, Arman Ashraf, SDSB B-2, MW
EDU 422, LEC 1, 1.5, Aaishay Haque, Lib Bldg SOE 03, MW
MKTG 392, LEC 1, 1.5, Mariam Qadeer, SDSB 203, MW
DISC 320, LEC 1, 1.5, Raja Rub Nawaz, SDSB 101, MW
MGMT 212, LEC 5, 1.5, Shezeen Salim Hemani, SDSB 101, MW
MGMT 212, LEC 4, 1.5, Shezeen Salim Hemani, SDSB 101, MW
MGMT 260, LEC 3, 1.5, Ali Sultan, Acad Block A-16, MW
MGMT 260, LEC 2, 1.5, Ali Sultan, Acad Block A-16, MW
MGMT 260, LEC 1, 1.5, Ali Sultan, Acad Block A-16, MW
MATH 101, LEC 6, 1.5, Shehryar Sikander, SBASSE 10-301, MW
MATH 101, LEC 3, 1.5, Muhammad Saqib, SBASSE 10-301, MW
MATH 101, LEC 1, 1.5, Ali Nosherwan Hamed, SBASSE 10-301, MW
ANTH 483, LEC 1, 2, Dominic William Esler, Acad Block A-2, MW
CHE 401, LEC 1, 1.5, Qandeel Almas, SAHSOL MMACR 1-02, MW
CHEM 532, LEC 1, 1.5, Muhammad Saeed, SBASSE 10-202, MW
EE 380, LEC 1, 1.5, Ijaz Haider Naqvi, SBASSE 10-301, MW
BIO 331, LEC 1, 1.5, Safee Ullah Chaudhary, SBASSE 10-204, MW
DISC 112, LEC 1, 1.5, Humbal Tariq, SDSB 105, MW
LAW 220, LEC 2, 2, Syeda Zehra Zaidi, SAHSOL CR 2-06, MW
ACCT 220, LEC 3, 1.5, Samia Ahmed Ali, SDSB 204, MW
ACCT 220, LEC 2, 1.5, Samia Ahmed Ali, SDSB 203, MW
ACCT 220, LEC 1, 1.5, Samia Ahmed Ali, SDSB 203, MW
POL 132, LEC 1, 2, Maham Nasir, Acad Block A-8, MW
LAW 240, LEC 1, 2, Angbeen Atif Mirza, SAHSOL GHKCR 0-02, MW
PSY 308, LEC 1, 2, Humair Yusuf, SDSB 205, MW
CS 340, LEC 1, 1.5, Basit Shafiq, SBASSE 10-201, MW
CS 340, LEC 1, 1.5, Asim Karim, SBASSE 10-201, MW
DISC 321, LEC 2, 2, Rehman, SDSB TRDLB, MW
DISC 321, LEC 1, 2, Rehman, SDSB TRDLB, MW
MKTG 345, LEC 1, 1.5, Muhammad Asim, SDSB TRDLB, MW
ECON 441, LEC 1, 2, Khalid Mir, Acad Block A-15, MW
EE 340, LEC 1, 1.5, Nauman Ahmad Zaffar, Acad Block A-16, MW
EE 421, LEC 1, 1.5, Shahid Masud, SBASSE 10-204, MW
HIST 3310, LEC 1, 2, Waqar Zaidi, Acad Block A-10, MW
CS 582, LEC 1, 1.5, Zafar Ayyub Qazi, Acad Block A-11, MW
ECON 330, LEC 1, 1.5, Farah Said, SAHSOL CR 1-01, MW
ECON 438, LEC 1, 2, Adeel Tariq, Acad Block A-8, MW
ECON 363, LEC 1, 2, Syed Zahid Ali, Acad Block SS, MW
ECON 536, LEC 1, 2, Syed Zahid Ali, SAHSOL CR 2-01, MW
EE 330, LEC 1, 1.5, Cheema, SBASSE 10-301, MW
