Course Code,Section,Duration,Instructors,Class Venues,Days
HIST 2322, LEC 1, 2, Muhammad Ali Raza, SBASSE 10-302, TR
FINN 372, LEC 1, 1.5, Nauman Afzal Cheema, SDSB 204, TR
MATH 521, LEC 1, 1.5, Imran Anwar, SBASSE 10-304, TR
CHEM 521, LEC 1, 1.5, Chotana, SBASSE 10-202, TR
LAW 303, LEC 1, 2, Sarah Humayun, SAHSOL CR 2-01, TR
ECON 343, LEC 1, 2, Abid Aman Burki, Acad Block A-5, TR
CHE 302, LEC 1, 1.5, Shahana Khurshid, SBASSE 10-202, TR
CS 310, LEC 1, 1.5, Imdad ullah khan, SBASSE 9-B2, TR
CLCA 2133, LEC 1, 2, Fatima Fayyaz, Acad Block MCB Acad Block A-13, TR
EDU 526, LEC 1, 1.5, Mariam Haider, Lib Bldg SOE 03, TR
EE 5203, LEC 1, 1.5, Nauman Zafar Butt, SBASSE 10-302, TR
FINN 400, LEC 1, 1.5, Saad Azmat, SDSB 204, TR
CS 501, LEC 1, 1.5, Momin Ayub Uppal, SBASSE 10-201, TR
SS 187, LEC 2, 2, Khan, SBASSE PRGST, TR
SS 1302, LEC 1, 2, Sadaf Habib, SAHSOL MMACR 1-02, TR
PSY 100, LEC 4, 2, Humair Yusuf, Acad Block A-4, TR
BIO 513, LEC 1, 1.5, Faiz Ul Hassan Nasim, SBASSE 10-304, TR
DISC 420, LEC 2, 1.5, Maheen Aamir Syed, SDSB TRDLB, TR
DISC 420, LEC 1, 1.5, Maheen Aamir Syed, SDSB TRDLB, TR
MGMT 212, LEC 2, 1.5, Mehroz Sajjad, SDSB 105, TR
MGMT 212, LEC 1, 1.5, Mehroz Sajjad, SDSB 105, TR
MGMT 212, LEC 3, 1.5, Mehr Farhan Cheema, SDSB 105, TR
MATH 101, LEC 4, 1.5, Haniya Azam, Acad Block SS, TR
MATH 101, LEC 2, 1.5, Sultan Sial, SBASSE 10-301, TR
MATH 102, LEC 2, 1.5, Masood Hussain Shah, SBASSE 10-301, TR
BIO 313, LEC 1, 1.5, Faiz Ul Hassan Nasim, SAHSOL CR 2-07, TR
BIO 313, LEC 1, 1.5, Khurram Bashir, SAHSOL CR 2-07, TR
ANTH 464, LEC 1, 2, Lukas Albert Paul Werth, Acad Block A-2, TR
EE 240, LEC 1, 1.5, Zubair Khalid, Acad Block A-8, TR
PHY 301, LEC 1, 1.5, Tajdar Mufti, SDSB 205, TR
SOC 310, LEC 1, 2, Umair Javed, Acad Block A-12, TR
CS 487, LEC 1, 1.5, Hassan, SBASSE PRGST, TR
POL 320, LEC 2, 2, Asma ul-Husna Faiz, Acad Block A-12, TR
POL 320, LEC 1, 2, Asma ul-Husna Faiz, SDSB 205, TR
LAW 394, LEC 1, 2, Khadijah Ahmad, SAHSOL CR 2-01, TR
BIO 531, LEC 1, 1.5, Safee Ullah Chaudhary, SBASSE 10-304, TR
CS 436, LEC 1, 1.5, Murtaza Taj, Acad Block MCB Acad Block A-13, TR
MKTG 332, LEC 1, 1.5, Saima Mujtaba Rana, Acad Block A-14, TR
LAW 220, LEC 1, 2, Hamid, SAHSOL CR 2-06, TR
EDU 223, LEC 1, 1.5, Fizza Suhail, Lib Bldg SOE 02, TR
EDU 210, LEC 1, 1.5, Gulab Khan, Lib Bldg SOE 01, TR
CS 202, LEC 1, 1.5, Waqar Ahmad, SBASSE 10-301, TR
CS 340, LEC 2, 1.5, Basit Shafiq, Acad Block SS, TR
CS 340, LEC 2, 1.5, Asim Karim, Acad Block SS, TR
DISC 323, LEC 1, 1.5, Rehman, SDSB 201, TR
DISC 323, LEC 3, 1.5, Rehman, SDSB 201, TR
EE 414, LEC 1, 1.5, Hassan Mohy-ud-Din, SBASSE 10-201, TR
ECON 240, LEC 1, 2, Nadia Mukhtar Sayed, Acad Block A-11, TR
ANTH 434, LEC 1, 2, Farah Said, Acad Block A-2, TR
ANTH 434, LEC 1, 2, Ameem Lutfi, Acad Block A-2, TR
POL 412, LEC 1, 2, Shahid Malik, Acad Block A-1, TR
ENV 132, LEC 1, 2, Sana Khosa, SAHSOL ARDCR 0-07, TR
CS 210, LEC 2, 2, Malik Jahan Khan, SBASSE 9-B2, TR
CS 210, LEC 1, 2, Malik Jahan Khan, SBASSE 10-201, TR
