Venues\Slots,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM
Acad Block A-1,,,,,PHIL 203 LEC 1,PHIL 203 LEC 1,PSY 321 LEC 1,PSY 321 LEC 1,PSY 321 LEC 1,PSY 321 LEC 1,,,,,,,,,
Acad Block A-10,,,,,,,,BIO 524 LEC 1,BIO 524 LEC 1,BIO 524 LEC 1,,,,,,,,,
Acad Block A-11,,,,,,,ECON 323 LEC 1,ECON 323 LEC 1,ECON 323 LEC 1,ECON 323 LEC 1,,,,,,,,,
Acad Block A-12,,,,,,,POL 320 LEC 2,POL 320 LEC 2,POL 320 LEC 2,POL 320 LEC 2,,,,,,,,,
Acad Block A-14,,,,,MGMT 243 LEC 1,MGMT 243 LEC 1,,MKTG 332 LEC 1,MKTG 332 LEC 1,MKTG 332 LEC 1,,,,,,,,,
Acad Block A-15,,,,,,,MGMT 142 LEC 2,MGMT 142 LEC 2,MGMT 142 LEC 2,MGMT 142 LEC 3,,,,,,,,,
Acad Block A-16,,,,,,,CLCA 1000 LEC 1,ECON 230 LEC 1,ECON 230 LEC 1,ECON 230 LEC 1,,,,,,,,,
Acad Block A-2,,,,,,,,,,,,,,,,,,,
Acad Block A-3,,,,,ECON 111 LEC 3,ECON 111 LEC 3,MGMT 242 LEC 1,MGMT 242 LEC 1,MGMT 242 LEC 1,MGMT 261 LEC 1,,,,,,,,,
Acad Block A-4,,,,,DISC 335 LEC 1,DISC 335 LEC 1,MGMT 142 LEC 1,MGMT 142 LEC 1,MGMT 142 LEC 1,MKTG 302 LEC 1,,,,,,,,,
Acad Block A-5,,,,,ECON 343 LEC 1,ECON 343 LEC 1,ECON 343 LEC 1,ECON 343 LEC 1,,,,,,,,,,,
Acad Block A-6,,,,,,,SS 100 LEC 21,SS 100 LEC 21,SS 100 LEC 21,SS 100 LEC 21,,,,,,,,,
Acad Block A-7,,,,,ACCT 100 LEC 3,ACCT 100 LEC 3,,MGMT 142 LEC 4,MGMT 142 LEC 4,MGMT 142 LEC 4,,,,,,,,,
Acad Block A-8,,,,,BIO 403 LEC 1,BIO 403 LEC 1,EE 240 LEC 1,PHY 5114 LEC 1,PHY 5114 LEC 1,PHY 5114 LEC 1,,,,,,,,,
Acad Block A-9,,,,,CLCA 3324 LEC 1,CLCA 3324 LEC 1,CLCA 3324 LEC 1,CLCA 3324 LEC 1,,,,,,,,,,,
Acad Block MCB Acad Block A-13,,,,,,,POL 100 LEC 1,POL 100 LEC 1,POL 100 LEC 1,POL 100 LEC 1,,,,,,,,,
Acad Block SS,,,,,CS 340 LEC 2,CS 340 LEC 2,CS 340 LEC 2,MATH 101 LEC 4,MATH 101 LEC 4,MATH 101 LEC 4,,,,,,,,,
LAB-1,,,,,,,,FINN 403 LEC 1,FINN 403 LEC 1,FINN 403 LEC 1,,,,,,,,,
LAW-FACLOU,,,,,,,,,,,,,,,,,,,
Lib Bldg SOE 01,,,,,,,,EDU 210 LEC 1,EDU 210 LEC 1,EDU 210 LEC 1,,,,,,,,,
Lib Bldg SOE 02,,,,,,,,EDU 223 LEC 1,EDU 223 LEC 1,EDU 223 LEC 1,,,,,,,,,
Lib Bldg SOE 03,,,,,EDU 321 LEC 1,EDU 321 LEC 1,,EDU 526 LEC 1,EDU 526 LEC 1,EDU 526 LEC 1,,,,,,,,,
SAHSOL ARDCR 0-07,,,,,,,ENV 132 LEC 1,ECON 330 LEC 2,ECON 330 LEC 2,ECON 330 LEC 2,,,,,,,,,
SAHSOL CR 1-01,,,,,,,ECON 221 LEC 2,ECON 111 LEC 2,ECON 111 LEC 2,ECON 111 LEC 2,,,,,,,,,
SAHSOL CR 1-06,,,,,LAW 426 LEC 1,LAW 426 LEC 1,SS 100 LEC 14,SS 100 LEC 14,SS 100 LEC 14,SS 100 LEC 14,,,,,,,,,
SAHSOL CR 1-07,,,,,,,,,,,,,,,,,,,
SAHSOL CR 2-01,,,,,,,LAW 303 LEC 1,CHEM 324 LEC 1,CHEM 324 LEC 1,CHEM 324 LEC 1,,,,,,,,,
SAHSOL CR 2-02,,,,,,,,EDU 3203 LEC 1,EDU 3203 LEC 1,EDU 3203 LEC 1,,,,,,,,,
SAHSOL CR 2-06,,,,,,,,CS 682 LEC 1,CS 682 LEC 1,CS 682 LEC 1,,,,,,,,,
SAHSOL CR 2-07,,,,,,,SS 100 LEC 2,SS 100 LEC 2,SS 100 LEC 2,SS 100 LEC 2,,,,,,,,,
SAHSOL GHKCR 0-02,,,,,,,LANG 122 LEC 1,MATH 5300 LEC 1,MATH 5300 LEC 1,MATH 5300 LEC 1,,,,,,,,,
SAHSOL MMACR 1-02,,,,,,,LANG 127 LEC 1,LANG 127 LEC 1,LANG 127 LEC 1,LANG 127 LEC 1,,,,,,,,,
SAHSOL SBACR 0-01,,,,,ECON 121 LEC 3,ECON 121 LEC 3,ECON 121 LEC 3,CHE 320 LEC 1,CHE 320 LEC 1,CHE 320 LEC 1,,,,,,,,,
SAHSOL SIACR 0-06,,,,,,,,,,,,,,,,,,,
SBASSE 10-201,,,,,CS 501 LEC 1,CS 501 LEC 1,CS 210 LEC 1,CS 210 LEC 1,CS 210 LEC 1,CS 210 LEC 1,,,,,,,,,
SBASSE 10-202,,,,,CHEM 332 LEC 1,CHEM 332 LEC 1,CHE 352 LEC 1,PHY 404 LEC 1,PHY 404 LEC 1,PHY 404 LEC 1,,,,,,,,,
SBASSE 10-204,,,,,PHY 313 LEC 1,PHY 313 LEC 1,POL 366 LEC 1,POL 366 LEC 1,POL 366 LEC 1,POL 366 LEC 1,,,,,,,,,
SBASSE 10-301,,,,,CS 202 LEC 1,CS 202 LEC 1,MATH 101 LEC 2,MATH 102 LEC 2,MATH 102 LEC 2,MATH 102 LEC 2,,,,,,,,,
SBASSE 10-302,,,,,CHE 415 LEC 1,CHE 415 LEC 1,CHE 415 LEC 1,EE 5203 LEC 1,EE 5203 LEC 1,EE 5203 LEC 1,,,,,,,,,
SBASSE 10-304,,,,,BIO 513 LEC 1,BIO 513 LEC 1,BIO 531 LEC 1,BIO 531 LEC 1,BIO 531 LEC 1,MATH 521 LEC 1,,,,,,,,,
SBASSE 9-B2,,,,,CHEM 516 LEC 1,CHEM 516 LEC 1,EE 203 LEC 1,CS 310 LEC 1,CS 310 LEC 1,CS 310 LEC 1,,,,,,,,,
SBASSE PRGST,,,,,,,,CS 487 LEC 1,CS 487 LEC 1,CS 487 LEC 1,,,,,,,,,
SDSB 101,,,,,ACCT 100 LEC 4,ACCT 100 LEC 4,ACCT 100 LEC 4,ORSC 201 LEC 4,ORSC 201 LEC 4,ORSC 201 LEC 4,,,,,,,,,
