Course Code,Start Time,End Time,Venue,Enrollment,Seating Capacity
ENGL 2402-LEC 1,08:00 AM,09:50 AM,SBASSE 10-304,45,50
ENGL 3172-LEC 1,08:00 AM,09:50 AM,SBASSE 10-302,30,30
FINN 200-LEC 2,08:00 AM,09:15 AM,SDSB 201,55,60
DISC 112-LEC 1,08:00 AM,09:15 AM,SDSB 101,55,60
CLCA 3325-LEC 1,08:00 AM,09:50 AM,SBASSE 10-204,37,40
MATH 341-LEC 1,08:00 AM,09:15 AM,SBASSE 10-202,50,50
CHEM 342-LEC 1,08:00 AM,09:15 AM,SDSB 205,40,40
MGMT 260-LEC 1,08:00 AM,09:15 AM,Acad Block A-5,55,57
SS 100-LEC 13,08:00 AM,09:50 AM,Acad Block A-6,25,28
EE 5502-LEC 1,09:00 AM,10:15 AM,Lib Bldg SOE 02,50,62
EE 5502-LEC 1,09:00 AM,10:15 AM,Acad Block A-9,50,51
DISC 321-LEC 1,09:00 AM,10:50 AM,SDSB 105,55,56
CS 340-LEC 1,09:00 AM,10:15 AM,SDSB B-2,150,150
CS 340-LEC 1,09:00 AM,10:15 AM,Acad Block MCB Acad Block A-13,150,202
ECON 4410-LEC 1,09:00 AM,10:50 AM,LAB-1,40,79
SS 100-LEC 15,09:00 AM,10:50 AM,Acad Block A-2,25,31
CHEM 721-LEC 1,09:00 AM,10:15 AM,SAHSOL CR 2-02,20,32
CHE 330-LEC 1,09:00 AM,10:15 AM,Acad Block A-4,40,83
ECON 4410-LEC 1,09:00 AM,10:50 AM,SDSB TRDLB,40,82
EE 330-LEC 1,09:30 AM,10:45 AM,Lib Bldg SOE 01,60,62
DISC 331-LEC 1,09:30 AM,10:45 AM,SAHSOL SBACR 0-01,60,71
PHY 512-LEC 1,09:30 AM,10:45 AM,SDSB 305,40,42
ACCT 202-LEC 1,09:30 AM,10:45 AM,Lib Bldg SOE 03,60,62
FINN 100-LEC 1,09:30 AM,10:45 AM,Acad Block A-1,55,55
SS 100-LEC 4,09:30 AM,11:20 AM,SAHSOL CR 2-06,25,32
DISC 212-LEC 1,09:30 AM,10:45 AM,Acad Block A-14,55,79
MGMT 260-LEC 2,09:30 AM,10:45 AM,Acad Block A-15,55,79
ECON 100-LEC 1,09:30 AM,11:20 AM,Acad Block A-3,65,71
ECON 363-LEC 1,09:30 AM,11:20 AM,Acad Block A-12,50,86
FINN 200-LEC 3,09:30 AM,10:45 AM,Acad Block A-16,55,79
ACCT 100-LEC 6,09:30 AM,10:45 AM,Acad Block A-8,55,83
ORSC 201-LEC 1,09:30 AM,10:45 AM,Acad Block A-7,55,71
EE 5216-LEC 1,10:00 AM,11:15 AM,SBASSE 10-302,20,30
ECON 449-LEC 1,10:00 AM,11:50 AM,Acad Block A-5,45,57
ECON 511-LEC 1,10:00 AM,11:50 AM,SAHSOL SIACR 0-06,25,32
ECON 3603-LEC 1,10:00 AM,11:50 AM,SBASSE 10-304,50,50
ECON 330-LEC 1,10:00 AM,11:30 AM,SAHSOL CR 1-07,65,71
ECON 262-LEC 1,10:00 AM,11:50 AM,SAHSOL CR 1-01,67,71
EDU 274-LEC 1,10:00 AM,11:15 AM,SAHSOL CR 1-06,15,32
ECON 247-LEC 1,10:00 AM,11:50 AM,SBASSE 10-202,50,50
ECON 233-LEC 1,10:00 AM,11:50 AM,SBASSE 10-204,35,40
ECON 211-LEC 1,10:00 AM,11:50 AM,SDSB 201,60,60
LAW 240-LEC 1,10:00 AM,11:50 AM,SAHSOL MMACR 1-02,29,32
CS 200-LEC 1,10:00 AM,11:15 AM,Acad Block SS,190,195
CHEM 532-LEC 1,10:00 AM,11:15 AM,Acad Block A-10,45,100
LAW 4304-LEC 1,10:00 AM,11:50 AM,SAHSOL GHKCR 0-02,25,32
POL 100-LEC 3,10:00 AM,11:50 AM,SAHSOL ARDCR 0-07,65,71
CS 370-LEC 1,10:00 AM,11:15 AM,SDSB B-1,150,150
CS 370-LEC 1,10:00 AM,11:15 AM,SBASSE 10-201,150,224
CS 370-LEC 1,10:00 AM,11:15 AM,SBASSE 10-301,150,224
LAW 352-LEC 1,10:00 AM,11:50 AM,SAHSOL CR 2-07,30,32
CHEM 314-LEC 1,10:00 AM,11:15 AM,Acad Block A-6,25,28
CLCA 2523-LEC 1,10:00 AM,11:50 AM,LAW-FACLOU,25,32
BIO 221-LEC 1,10:30 AM,12:20 PM,Acad Block A-9,30,51
BIO 221-LEC 1,10:30 AM,12:20 PM,SAHSOL CR 2-01,30,32
CHE 210-LEC 1,10:30 AM,11:45 AM,SDSB 205,40,40
ECON 121-LEC 2,10:30 AM,11:45 AM,SDSB 101,60,60
ECON 121-LEC 2,10:30 AM,11:45 AM,Lib Bldg SOE 02,60,62
GSL 202-LEC 1,11:00 AM,12:50 PM,Acad Block A-2,25,31
MGMT 260-LEC 3,11:00 AM,12:15 PM,SDSB 204,55,86
ORSC 201-LEC 2,11:00 AM,12:15 PM,SDSB TRDLB,55,82
MGMT 212-LEC 4,11:00 AM,12:15 PM,Acad Block A-11,45,107
MGMT 142-LEC 5,11:00 AM,12:15 PM,Acad Block A-4,55,83
FINN 200-LEC 1,11:00 AM,12:15 PM,SDSB 105,55,56
SS 100-LEC 11,11:00 AM,12:50 PM,SAHSOL CR 2-02,25,32
EE 380-LEC 1,11:00 AM,12:15 PM,Lib Bldg SOE 01,60,62
FINN 454-LEC 1,11:00 AM,12:15 PM,LAB-1,60,79
ACCT 220-LEC 1,11:00 AM,12:15 PM,SDSB 203,55,86
