Course Code,Start Time,End Time,Venue,Enrollment,Seating Capacity
SS 233-LEC 1,08:00 AM,09:50 AM,SBASSE 10-304,50,50
ENGL 2991-LEC 1,08:00 AM,09:50 AM,SBASSE 10-302,30,30
MATH 101-LEC 2,08:00 AM,09:15 AM,SBASSE 10-301,140,224
CS 225-LEC 1,08:00 AM,09:50 AM,Acad Block SS,150,195
PHIL 132-LEC 1,08:00 AM,09:50 AM,Acad Block A-7,70,71
PHY 313-LEC 1,08:00 AM,09:50 AM,Acad Block A-2,20,31
MATH 120-LEC 2,08:00 AM,09:15 AM,SBASSE 10-201,120,224
SS 100-LEC 1,08:00 AM,09:50 AM,Acad Block A-6,25,28
CS 340-LEC 2,09:00 AM,10:15 AM,Acad Block MCB Acad Block A-13,150,202
CS 340-LEC 2,09:00 AM,10:15 AM,SDSB B-2,150,150
SS 100-LEC 18,09:00 AM,10:50 AM,SAHSOL CR 2-07,25,32
CHEM 521-LEC 1,09:00 AM,10:15 AM,Acad Block A-4,50,83
CHE 320-LEC 1,09:00 AM,10:15 AM,SBASSE 10-204,40,40
EE 5203-LEC 1,09:30 AM,10:45 AM,Acad Block A-8,50,83
MGMT 142-LEC 2,09:30 AM,10:45 AM,Acad Block A-5,55,57
PHY 5114-LEC 1,09:30 AM,10:45 AM,Acad Block A-12,40,86
MGMT 142-LEC 4,09:30 AM,10:45 AM,SDSB TRDLB,55,82
SS 100-LEC 5,09:30 AM,11:20 AM,SAHSOL CR 2-02,25,32
MKTG 201-LEC 2,09:30 AM,10:45 AM,SDSB B-1,55,150
DISC 203-LEC 1,09:30 AM,10:45 AM,Acad Block A-11,55,107
MGMT 400-LEC 3,09:30 AM,10:45 AM,SBASSE PRGST,55,102
MGMT 212-LEC 3,09:30 AM,10:45 AM,SDSB B-3,45,286
DISC 212-LEC 4,09:30 AM,10:45 AM,Acad Block A-1,55,55
SS 1302-LEC 1,10:00 AM,11:50 AM,SAHSOL CR 2-06,25,32
POL 412-LEC 1,10:00 AM,11:50 AM,SBASSE 10-302,30,30
SS 100-LEC 9,10:00 AM,11:50 AM,SAHSOL CR 1-06,25,32
POL 320-LEC 1,10:00 AM,11:50 AM,Acad Block A-9,40,51
LANG 122-LEC 1,10:00 AM,11:50 AM,SAHSOL SIACR 0-06,25,32
ECON 4102-LEC 1,10:00 AM,11:50 AM,SBASSE 10-304,45,50
ECON 531-LEC 1,10:00 AM,11:50 AM,SAHSOL GHKCR 0-02,25,32
ECON 330-LEC 2,10:00 AM,11:30 AM,Acad Block A-14,65,79
EDU 210-LEC 1,10:00 AM,11:15 AM,SDSB 203,40,86
EDU 353-LEC 1,10:00 AM,11:15 AM,SBASSE 10-301,20,224
ECON 233-LEC 2,10:00 AM,11:50 AM,Acad Block SS,35,195
EDU 526-LEC 1,10:00 AM,11:15 AM,SBASSE 10-201,19,224
ECON 111-LEC 2,10:00 AM,11:15 AM,Acad Block A-15,60,79
REL 334-LEC 1,10:00 AM,11:50 AM,SDSB 205,40,40
MATH 521-LEC 1,10:00 AM,11:15 AM,SAHSOL MMACR 1-02,20,32
CLCA 1000-LEC 1,10:00 AM,11:50 AM,SAHSOL ARDCR 0-07,67,71
CS 200-LEC 2,10:00 AM,11:15 AM,SBASSE 9-B2,230,264
CS 202-LEC 1,10:00 AM,11:15 AM,Acad Block A-10,100,100
CLCA 1000-LEC 1,10:00 AM,11:50 AM,Acad Block A-7,67,71
ANTH 312-LEC 1,10:00 AM,11:50 AM,SDSB 204,37,86
LAW 394-LEC 1,10:00 AM,11:50 AM,Acad Block A-2,30,31
CS 487-LEC 1,10:00 AM,11:15 AM,SBASSE 10-202,50,50
LAW 338-LEC 1,10:00 AM,11:50 AM,LAW-FACLOU,24,32
BIO 524-LEC 1,10:00 AM,11:15 AM,SDSB 305,40,42
SS 100-LEC 14,10:00 AM,11:50 AM,Acad Block A-6,25,28
CHEM 332-LEC 1,10:30 AM,11:45 AM,Acad Block MCB Acad Block A-13,25,202
MATH 101-LEC 4,10:30 AM,11:45 AM,SDSB B-2,150,150
ORSC 201-LEC 3,11:00 AM,12:15 PM,Acad Block A-5,55,57
MGMT 242-LEC 1,11:00 AM,12:15 PM,Acad Block A-4,55,83
SS 100-LEC 23,11:00 AM,12:50 PM,SAHSOL CR 2-01,25,32
HIST 2322-LEC 1,11:00 AM,12:50 PM,SBASSE 10-204,40,40
MECO 111-LEC 4,11:00 AM,12:15 PM,SDSB TRDLB,55,82
MKTG 201-LEC 3,11:00 AM,12:15 PM,SDSB 105,55,56
ACCT 100-LEC 1,11:00 AM,12:15 PM,Acad Block A-8,55,83
DISC 203-LEC 2,11:00 AM,12:15 PM,Acad Block A-12,55,86
CHEM 516-LEC 1,11:00 AM,12:15 PM,Lib Bldg SOE 01,60,62
MATH 102-LEC 2,11:30 AM,12:45 PM,SDSB B-1,120,150
