Venue,Seating Capacity,Classes Scheduled,Average Space Utilization %
Acad Block A-1, 55, 4.0, 97.73
Acad Block A-10, 100, 3.0, 60.00
Acad Block A-11, 107, 2.0, 32.71
Acad Block A-12, 86, 3.0, 48.45
Acad Block A-14, 79, 3.0, 65.40
Acad Block A-15, 79, 3.0, 65.40
Acad Block A-16, 79, 3.0, 67.51
Acad Block A-2, 31, 4.0, 84.68
Acad Block A-3, 71, 3.0, 82.16
Acad Block A-4, 83, 3.0, 60.24
Acad Block A-5, 57, 4.0, 92.11
Acad Block A-6, 28, 4.0, 91.07
Acad Block A-7, 71, 3.0, 89.20
Acad Block A-8, 83, 3.0, 56.22
Acad Block A-9, 51, 4.0, 85.78
Acad Block MCB Acad Block A-13, 202, 2.0, 45.79
Acad Block SS, 195, 3.0, 41.03
LAB-1, 79, 3.0, 65.40
LAW-FACLOU, 32, 3.0, 78.12
Lib Bldg SOE 01, 62, 4.0, 78.63
Lib Bldg SOE 02, 62, 4.0, 91.94
Lib Bldg SOE 03, 62, 4.0, 92.74
SAHSOL ARDCR 0-07, 71, 3.0, 91.08
SAHSOL CR 1-01, 71, 3.0, 83.10
SAHSOL CR 1-06, 32, 3.0, 68.75
SAHSOL CR 1-07, 71, 3.0, 92.96
SAHSOL CR 2-01, 32, 3.0, 72.92
SAHSOL CR 2-02, 32, 4.0, 78.12
SAHSOL CR 2-06, 32, 3.0, 87.50
SAHSOL CR 2-07, 32, 3.0, 93.75
SAHSOL GHKCR 0-02, 32, 3.0, 78.12
SAHSOL MMACR 1-02, 32, 3.0, 82.29
SAHSOL SBACR 0-01, 71, 3.0, 88.26
SAHSOL SIACR 0-06, 32, 3.0, 78.12
SBASSE 10-201, 224, 2.0, 37.95
SBASSE 10-202, 50, 4.0, 100.00
SBASSE 10-204, 40, 4.0, 95.00
SBASSE 10-301, 224, 2.0, 37.95
SBASSE 10-302, 30, 5.0, 83.33
SBASSE 10-304, 50, 4.0, 97.50
SBASSE 9-B2, 264, 2.0, 48.30
SBASSE PRGST, 102, 2.0, 44.12
SDSB 101, 60, 4.0, 97.92
SDSB 105, 56, 4.0, 95.98
SDSB 201, 60, 4.0, 97.50
SDSB 203, 86, 2.0, 52.33
SDSB 204, 86, 2.0, 55.23
SDSB 205, 40, 4.0, 100.00
SDSB 305, 42, 3.0, 95.24
SDSB B-1, 150, 3.0, 97.78
SDSB B-2, 150, 3.0, 91.11
SDSB B-3, 286, 2.0, 43.71
SDSB TRDLB, 82, 3.0, 60.98
